ALCALLER,"[24, 22]"
ALCANTARILLERO,[15]
ALCANTARINO,[22]
ALCARRACERO,[15]
ALCORANISTA,[23]
ALCORNOQUERO,[15]
ALCUCERO,[22]
ALDRAN,[24]
ALERGISTA,"[18, 12, 13, 15]"
ALERGOLOGO,"[18, 12, 13, 15]"
ALERO,[11]
ALFABETISTA,[23]
ALFAGEME,[24]
ALFAJEME,[22]
ALFAQUEQUE,[22]
ALFARERO,"[1, 10, 11, 15, 16, 19, 22, 24]"
ALFARRAZADOR,[15]
ALFAYATE,"[24, 22]"
ALFEREZ,"[2, 15, 21, 22, 24]"
ALFEREZ ALUMNO,[2]
ALFEREZ DE FRAGATA,[2]
ALFEREZ DE NAVIO,[2]
ALFILETERO,[21]
ALFOLIERO,[22]
ALFOLINERO,[22]
ALFOMBRERO,"[19, 22, 15]"
ALFOMBRISTA,"[22, 15]"
ALFONDEGUERO,[22]
ALFORJERO,"[22, 15]"
ALGALIERO,[22]
ALGARERO,[22]
ALGEBRISTA,"[23, 21, 22, 15]"
ALGODONERO,"[19, 22, 15]"
ALGOLOGO,[15]
ALGUACIL,"[11, 15, 19, 22, 24]"
ALGUACILILLO,"[24, 22, 15]"
ALGUERO,[15]
ALGUEROS,[1]
ALHAQUIN,[22]
ALHONDIGUERO,[22]
ALICATADOR,[15]
ALIENISTA,"[22, 15]"
ALIJADOR,"[22, 15]"
ALIJARERO,[22]
ALIMANERO,"[24, 19, 22, 15]"
ALIMENTADOR,"[14, 15]"
ALINEADOR,[14]
ALISADOR,[15]
ALISTADOR,"[23, 22, 15]"
ALJECERO,[22]
ALJERIFERO,"[22, 15]"
ALJIBERO,"[22, 15]"
ALMACENADOR,[14]
ALMACENERO,"[10, 12, 13, 15, 18, 22, 24]"
ALMACENISTA,"[12, 13, 14, 15, 18, 22, 24]"
ALMADIERO,"[22, 14, 15]"
ALMADRABERO,"[22, 15]"
ALMADRENERO,"[10, 15]"
ALMANAQUERO,"[22, 15]"
ALMATRERO,[22]
ALMAZARERO,"[22, 15]"
ALMIDONADOR,[14]
ALMIDONERO,[15]
ALMIJARERO,[22]
ALMIRANTE,"[2, 22, 15]"
ALMIRANTE GENERAL,[2]
ALMOCADEN,[22]
ALMOHADILLERO,[15]
ALMOHAZDOR,[22]
ALMOJARIFE,[22]
ALMONEDERO,[15]
ALMONEDISTA,[15]
ALMOTABEL,[22]
ALMOTACEN,[22]
ALMOTALAFE,[22]
ALMUECIN,[22]
ALOJERO,[22]
ALPARGATERO,"[24, 10, 22, 15]"
ALPINISTA,"[22, 15]"
ALQUILADOR,"[22, 15]"
ALQUIMISTA,"[24, 23, 22, 15]"
ALTARERO,[22]
ALUMBRADOR,[23]
ALZADOR,[15]
AMA,"[24, 19, 21]"
AMA DE CRIA,[19]
AMA DE LLAVES,[14]
AMAESTRADOR,[15]
AMANINADOR,[22]
AMANSADOR,"[24, 22]"
AMANTERO,[15]
AMANUENSE,"[24, 22, 15]"
AMARADOR,[15]
AMARRADOR,[15]
AMASADOR,"[22, 23, 14, 15]"
AMAZONA,"[24, 15]"
AMBIENTADOR,[15]
AMBIENTOLOGO,[15]
AMELGADOR,[15]
AMERICANISTA,"[22, 15]"
AMIN,[22]
AMO,[24]
AMOJONADOR,[22]
AMOLADOR,"[19, 23, 22, 15]"
AMOLANCHIN,[22]
AMOLDADOR,"[22, 23]"
AMONTONADOR,[22]
AMORTAJADOR,"[22, 15]"
AMPELOGRAFO,[15]
AMPLIADOR,[15]
AMUGRONADOR,[23]
ANACAL,[22]
ANACALERO,[22]
ANAFIL,[22]
ANAFILERO,[22]
ANALISTA,"[10, 14, 15, 16, 17, 20, 22, 23]"
ANALIZADOR,[15]
ANATOMISTA,"[12, 13, 14, 15, 18, 23]"
ANCIANO,[3]
ANCORERO,[22]
ANDABATA,[22]
ANDADERO,[22]
ANDAMISTA,[15]
ANDERO,[22]
ANDRAJERO,[22]
ANDROLOGO,[15]
ANEMOGRAFO,[15]
ANERO,[22]
ANESTESIOLOGO,"[12, 13, 14, 15, 18, 22, 24]"
ANESTESISTA,"[12, 13, 14, 15, 18, 22, 24]"
ANFITRION,[14]
ANGE,[22]
ANGEL,[22]
ANGIOLOGO,[15]
ANGLISTA,[15]
ANGUILERO,[15]
ANGULERO,"[11, 15]"
ANILLADOR,[15]
ANIMADOR,"[14, 15, 16, 17, 20, 23]"
ANIMALERO,[15]
ANIMALISTA,[15]
ANIMERO,[22]
ANINERO,[22]
ANODIZADOR,[14]
ANOTADOR,"[23, 15]"
ANSARERO,[15]
ANTEOJERO,"[22, 15]"
ANTERO,[22]
ANTICUARIO,[15]
ANTIFONERO,[22]
ANTOBIOLOGO,[15]
ANTOLOGISTA,"[18, 12, 13, 15]"
ANTOLOGO,[15]
ANTONIANO,[22]
ANTROPOGEOGRAFO,[15]
ANTROPOLEG,[17]
ANTROPOLOGO,"[10, 12, 13, 14, 15, 16, 18, 20, 22, 24]"
ANTROPOMETRA,[15]
ANTROPOSOFO,[15]
ANUDADOR,[15]
ANUNCIADOR,"[24, 23, 14, 22]"
ANZOLERO,[22]
APACENTADOR,[22]
APAGADOR,[22]
APARADORISTA,[15]
APARAPITA,[1]
APARCACOCHES,[15]
APARCERO,"[24, 15]"
APAREJADOR,"[14, 15, 22, 23, 24]"
APARTADOR,[22]
APARVADOR,[22]
APEADOR,[22]
APELAMBRADOR,[22]
APERADOR,"[19, 22, 15]"
APICULTOR,"[24, 11, 15]"
APILADOR,"[22, 14, 15]"
APIRI,[22]
APISONADOR,[15]
APLICADOR,"[17, 15]"
APODERADO,"[24, 22, 15]"
APOLOGISTA,[22]
APOMAZADOR,[15]
APORCADOR,[22]
APOSENTADOR,"[24, 23, 22, 15]"
APOSTOL,[22]
APOTECARIO,[22]
APRECIADOR,[21]
APRENDIZ,"[24, 22, 15]"
APRESTADOR,[15]
APRETADOR,[22]
APUNTADOR,"[24, 23, 22, 15]"
APUNTALADOR,"[14, 15]"
APURADOR,[22]
AQUILIFERO,[24]
ARABISTA,"[12, 13, 15, 18, 22]"
ARACNOLOGO,[15]
ARADOR,"[22, 15]"
ARBITRAJISTA,[15]
ARBITRE,[17]
ARBITRISTA,[22]
ARBITRO,"[12, 15, 16, 21, 22, 24]"
ARBORICULTOR,"[24, 22, 15]"
ARCABUCERO,"[24, 22]"
ARCADOR,[22]
ARCEDIANO,[22]
ARCHICOFRADE,[22]
ARCHIDIACONO,"[3, 4, 22]"
ARCHIDUQUE,"[21, 22, 15]"
ARCHIDUQUESA,"[22, 15]"
ARCHIMAGO,[24]
ARCHIMANDRITA,[4]
ARCHINAUTA,[22]
ARCHIVERO,"[10, 12, 13, 15, 18, 20, 22]"
ARCHIVISTA,"[10, 14, 15, 16, 22, 23]"
ARCIPRESTE,"[3, 4, 22, 15]"
ARCONTE,[22]
ARENERO,"[1, 11, 15]"
ARGENTADOR,"[22, 15]"
ARGENTER,[17]
ARGENTERO,"[22, 15]"
ARGUENERO,[22]
ARGUMENTISTA,"[24, 15]"
ARISTOCRATA,"[24, 22]"
ARITMETICO,"[22, 15]"
ARMADOR,"[14, 15, 22, 23, 24]"
ARMERO,"[1, 15, 19, 22, 24]"
ARMONISTA,"[23, 15]"
ARMONIZADOR,[15]
AROMATERAPEUTA,[15]
AROMATIZADOR,"[14, 15]"
